Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10uF,
C2,0805,1,22uF,
"C4, C6, C8, C9",0805,4,.1uF,
C7,0805,1,1uF,
D1,SOT-143,1,PRTR5V0U2X,C2827688
D2,D_SOD-123,1,D,C64898
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
"J1, J11, J2",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04_Socket,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
J4,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,C132563
"J5, J6",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
J7,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Socket,
PS1,CONV_K7803M-1000R3,1,K7803M-1000R3,
"Q2, Q3",SOT-23,2,Q_NPN_BEC,C20526
"R1, R3",0805,2,2.4K,C17526
"R2, R4, R5",0805,3,10K,C17414
"SW1, SW2, SW3, SW4",SW_TH_Tactile_Omron_B3F-10xx,4,SW_Push,
TP1,PinHeader_1x01_P2.54mm_Vertical,1,TestPoint,
U1,XCVR_ESP32-S3-WROOM-1-N4R2,1,ESP32-S3-WROOM-1-N4R2,
U2,Adafruit_Feather,1,~,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C, C84681
