Designator,Mid X,Mid Y,Rotation,Layer
C1,99.06,-74.93,0.0,top
C2,99.06,-72.39,0.0,top
C3,88.9,-31.75,180.0,top
C4,88.9,-34.29,180.0,top
C6,93.98,-57.15,0.0,top
C7,99.06,-57.15,0.0,top
C8,104.14,-54.61,180.0,top
C9,104.14,-59.69,0.0,top
D1,94.996,-85.344,180.0,top
D2,94.996,-81.28,180.0,top
D3,130.175,-90.17,0.0,top
J1,78.74,-62.15,90.0,top
J11,78.74,-46.91,90.0,top
J2,78.74,-77.39,90.0,top
J3,105.45,-90.17,0.0,top
J4,95.25,-91.14,0.0,top
J5,115.57,-38.1,0.0,top
J6,87.63,-38.1,0.0,top
J7,140.97,-34.925,90.0,top
Logo1,112.693205,-89.854732,0.0,top
PS1,105.41,-81.28,0.0,top
Q2,93.98,-53.34,180.0,top
Q3,109.22,-53.34,0.0,top
R1,104.14,-57.15,0.0,top
R2,99.06,-54.61,0.0,top
R3,109.22,-57.15,0.0,top
R4,104.14,-52.07,180.0,top
R5,99.06,-52.07,0.0,top
SW1,103.43,-62.52,0.0,top
SW2,103.43,-70.14,0.0,top
SW3,121.21,-81.57,0.0,top
SW4,132.64,-81.57,0.0,top
TP1,78.74,-86.36,0.0,top
U1,101.6,-35.56,0.0,top
U2,121.5195,-33.02,0.0,top
U3,96.52,-64.77,0.0,top
