Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C5_4, C5_3, C5_2, C5",0805,8,10nF,C1710
"C2_4, C2_3, C2_2, C2, C3_4, C3_3, C3_2, C3, C7_4, C7_3, C7_2, C7, C9_4, C9_3, C9_2, C9",0805,16,1nF,C46653
"C4_4, C4_3, C4_2, C4",0603,4,68pF,C28262
"C6_4, C6_3, C6_2, C6, C8_4, C8_3, C8_2, C8",0805,8,1uF,C28323
"D1_4, D1_3, D1_2, D1",0805,4,LED,C84256
"H1_4, H1_3, H1_2, H1, H2_4, H2_3, H2_2, H2, H3_4, H3_3, H3_2, H3, H4_4, H4_3, H4_2, H4",MountingHole_3.2mm_M3,16,MountingHole,
"J1_4, J1_3, J1_2, J1",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,4,Conn_01x04_Socket,
"LS1_4, LS1_3, LS1_2, LS1",ULTRASONIC_16MM,4,Speaker_Ultrasound,
"Q1_4, Q1_3, Q1_2, Q1, Q2_2, Q2, Q3_2, Q3",SOT-23,8,MMBT3904,C20526
"R1_4, R1_3, R1_2, R1, R10_4, R10_3, R10_2, R10, R13_4, R13_3, R13_2, R13, R14_4, R14_3, R14_2, R14, R17_4, R17_3, R17_2, R17, R6_4, R6_3, R6_2, R6",0805,24,10K,C17414
"R11_4, R11_3, R11_2, R11",0805,4,1K,C17513
"R12_4, R12_3, R12_2, R12",0805,4,3.9K,C17614
"R15_4, R15_3, R15_2, R15, R9_4, R9_3, R9_2, R9",0805,8,120K,C17436
"R16_4, R16_3, R16_2, R16",0805,4,2M,C26112
"R18_4, R18_3, R18_2, R18",0805,4,100,C17408
"R19_4, R19_3",0805,2,DO NOT POPULATE,
"R2_4, R2_3, R2_2, R2, R5_4, R5_3, R5_2, R5, R7_4, R7_3, R7_2, R7",0805,12,75K,C17819
"R3_4, R3_3, R3_2, R3",0805,4,6.8K,C17772
"R4_4, R4_3, R4_2, R4",0805,4,220,C17557
"R8_4, R8_3, R8_2, R8",0805,4,4.3K,C17667
"TP1_4, TP1_3, TP1_2, TP1, TP2_4, TP2_3, TP2_2, TP2, TP3_4, TP3_3, TP3_2, TP3, TP4_4, TP4_3, TP4_2, TP4, TP5_4, TP5_3, TP5_2, TP5, TP6_4, TP6_3, TP6_2, TP6, TP7_4, TP7_3, TP7_2, TP7, TP8_4, TP8_3, TP8_2, TP8",TestPoint_THTPad_D1.5mm_Drill0.7mm,32,TestPoint,
"U1_4, U1_3, U1_2, U1",SOIC-14_3.9x8.7mm_P1.27mm,4,LM324,C71035
