Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805,2,10nF,C1710
"C2, C3, C7, C9",0805,4,1nF,C46653
C4,0603,1,68pF,C28262
"C6, C8",0805,2,1uF,C28323
D1,0805,1,LED,C84256
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
LS1,ULTRASONIC_16MM,1,Speaker_Ultrasound,
"Q1, Q2",SOT-23,2,MMBT3904,C20526
"R1, R10, R13, R14, R17, R6",0805,6,10K,C17414
R11,0805,1,1K,C17513
R12,0805,1,3.9K,C17614
"R15, R9",0805,2,120K,C17436
R16,0805,1,2M,C26112
R18,0805,1,100,C17408
R19,0805,1,DO NOT POPULATE,
"R2, R5, R7",0805,3,75K,C17819
R3,0805,1,6.8K,C17772
R4,0805,1,220,C17557
R8,0805,1,4.3K,C17667
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_THTPad_D1.5mm_Drill0.7mm,8,TestPoint,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,C71035
