Designator,Mid X,Mid Y,Rotation,Layer
C1,83.0,-55.55,270.0,top
C2,73.1,-51.95,270.0,top
C3,69.05,-46.4,180.0,top
C4,68.9,-48.4,180.0,top
C5,66.5,-62.7,0.0,top
C6,74.65,-68.7,90.0,top
C7,73.5,-57.15,270.0,top
C8,75.9,-57.15,270.0,top
C9,77.15,-68.7,90.0,top
D1,85.55,-66.9,180.0,top
J1,71.38,-77.705,0.0,top
LS1,74.995,-53.5,90.0,bottom
Logo1,62.5,-57.5,270.0,bottom
Q1,66.35,-72.95,180.0,top
Q2,85.8,-72.0,0.0,top
R1,82.95,-51.6,270.0,top
R10,82.15,-70.15,270.0,top
R11,87.95,-63.05,90.0,top
R12,81.25,-73.2,0.0,top
R13,81.8,-60.65,90.0,top
R14,71.3,-57.2,90.0,top
R15,65.4,-68.55,90.0,top
R16,79.25,-68.7,270.0,top
R17,72.9,-73.65,180.0,top
R18,85.55,-69.1,0.0,top
R19,80.4,-49.8,270.0,top
R2,78.95,-57.35,180.0,top
R3,77.25,-51.95,90.0,top
R4,75.2,-51.95,90.0,top
R5,69.05,-50.35,180.0,top
R6,65.4,-59.5,180.0,top
R7,67.45,-65.6,270.0,top
R8,70.85,-68.7,270.0,top
R9,84.4,-64.15,0.0,top
U1,74.64,-63.1,90.0,top
